,industry_code,total_wages_before,quarter,total_wages_after,wage_change
40,All Other Miscellaneous Waste Management Services ,28733.869565217392,1,30430.956521739132,-1697.08695652174
41,All Other Miscellaneous Wood Product Mfg ,19054.18181818182,1,26667.363636363636,-7613.181818181816
42,All Other Outpatient Care Centers ,16777.082352941175,1,22099.082352941175,-5322.0
43,All Other Personal Services ,18414.935064935064,1,23046.506493506495,-4631.571428571431
44,All Other Plastics Product Mfg ,24760.207253886012,1,30909.58031088083,-6149.373056994817
45,"All Other Professional, Scientific, and Technical ...",23367.68156424581,1,35103.804469273746,-11736.122905027936
46,All Other Publishers ,53957.954545454544,1,54146.65909090909,-188.70454545454413
47,All Other Rubber Product Mfg ,16791.58064516129,1,27744.774193548386,-10953.193548387095
48,All Other Specialty Food Retailers ,18158.176470588234,1,11349.411764705883,6808.764705882351
49,All Other Specialty Trade Contractors,19582.078260869566,1,29710.991304347826,-10128.91304347826
50,All Other Support Activities for Trans ,17716.11111111111,1,22595.0,-4878.8888888888905
51,All Other Support Services,12726.70945945946,1,18366.83445945946,-5640.125
52,All Other Telecommunications ,27220.68316831683,1,38583.36633663366,-11362.683168316831
53,All Other Transit and Ground Passenger Trans ,11438.547169811322,1,20058.11320754717,-8619.566037735847
54,All Other Trans Equipment Mfg ,27897.291139240508,1,32105.151898734177,-4207.860759493669
55,All Other Travel Arrangement and Reservation Servi...,14432.355263157895,1,26870.934210526317,-12438.578947368422
56,All Other Traveler Accommodation ,10038.708333333334,1,20416.166666666668,-10377.458333333334
57,Alumina Refining and Primary Aluminum Production ,14541.666666666666,1,29599.0,-15057.333333333334
58,"Aluminum Sheet, Plate, and Foil Mfg ",29929.6,1,55001.4,-25071.800000000003
59,Ambulance Services ,15793.298013245034,1,23016.7880794702,-7223.490066225166
60,American Indian and Alaska Native Tribal Governmen...,32956.333333333336,1,39379.333333333336,-6423.0
61,Ammunition (except Small Arms) Mfg ,35526.77777777778,1,46942.555555555555,-11415.777777777774
62,Amusement Arcades,7236.857142857143,1,19821.285714285714,-12584.42857142857
63,Amusement and Theme Parks ,10071.514705882353,1,15404.89705882353,-5333.382352941177
64,Animal (except Poultry) Slaughtering ,15035.251572327044,1,21579.119496855346,-6543.867924528302
65,Apiculture,6447.666666666667,1,12318.333333333334,-5870.666666666667
66,Apparel Knitting Mills,18286.313725490196,1,16963.117647058825,1323.1960784313706
67,Apple Orchards ,10760.5,1,15281.0,-4520.5
68,Appliance Repair and Maintenance ,19141.130434782608,1,23960.478260869564,-4819.347826086956
69,Apprenticeship Training ,48122.2,1,36733.0,11389.199999999997
70,Architectural Services,30343.20512820513,1,49222.48717948718,-18879.28205128205
71,Armored Car Services ,19856.18181818182,1,29905.666666666668,-10049.484848484848
72,Art Dealers ,5204.75,1,19708.25,-14503.5
73,Artificial and Synthetic Fibers and Filaments Mfg,14986.318181818182,1,25357.727272727272,-10371.40909090909
74,Asphalt Paving Mixture and Block Mfg ,14431.5,1,27342.5,-12911.0
75,Asphalt Shingle and Coating Materials Mfg ,63665.666666666664,1,65041.333333333336,-1375.6666666666715
76,Assisted Living Facilities for the Elderly ,14589.739393939393,1,19598.654545454545,-5008.915151515152
77,Automatic Environmental Control Mfg for Residentia...,39599.5,1,51078.666666666664,-11479.166666666664
78,Automobile Driving Schools ,17995.5,1,18329.6,-334.09999999999854
79,Automobile and Light Duty Motor Vehicle Mfg ,22069.677966101695,1,36019.93220338983,-13950.254237288133
80,Automobile and Other Motor Vehicle Merchant Wholes...,35795.010869565216,1,44756.0,-8960.989130434784
81,"Automotive Body, Paint, and Interior Repair and Ma...",17101.775280898877,1,26806.337078651686,-9704.561797752809
82,Automotive Glass Replacement Shops ,14450.136363636364,1,25999.136363636364,-11549.0
83,Automotive Oil Change and Lubrication Shops ,14076.86,1,26584.0,-12507.14
84,Automotive Parts and Accessories Retailers ,15374.551532033427,1,19490.116991643456,-4115.5654596100285
85,Ball and Roller Bearing Mfg,22468.3125,1,36339.9375,-13871.625
86,Barber Shops ,15448.6,1,25357.5,-9908.9
87,Battery Mfg ,24712.46979865772,1,33602.5100671141,-8890.040268456378
88,Beauty Salons ,10600.528571428571,1,17013.557142857142,-6413.028571428571
89,Bed-and-Breakfast Inns ,12013.0,1,14639.0,-2626.0
90,Beef Cattle Ranching and Farming ,10151.666666666666,1,24114.0,-13962.333333333334
91,Beer and Ale Merchant Wholesalers ,20288.90625,1,38249.9375,-17961.03125
92,"Beer, Wine, and Liquor Retailers ",14691.306818181818,1,16446.602272727272,-1755.295454545454
93,Berry (except Strawberry) Farming ,17846.11111111111,1,19365.333333333332,-1519.2222222222226
94,Biological Product (except Diagnostic) Mfg ,43523.7,1,27754.5,15769.199999999997
95,Blood and Organ Banks ,15521.825396825398,1,21666.444444444445,-6144.619047619048
96,Boat Building ,16431.764705882353,1,19717.843137254902,-3286.078431372549
97,Boat Dealers ,26576.4,1,28088.8,-1512.3999999999978
98,"Bolt, Nut, Screw, Rivet, and Washer Mfg ",22998.333333333332,1,61606.0,-38607.66666666667
99,Book Publishers ,29865.363636363636,1,51890.72727272727,-22025.363636363636
100,Book Retailers and News Dealers ,12734.23076923077,1,13833.615384615385,-1099.3846153846152
101,"Book, Periodical, and Newspaper Merchant Wholesale...",17049.76923076923,1,22936.0,-5886.2307692307695
102,Bottled Water Mfg ,20850.414634146342,1,30389.19512195122,-9538.780487804877
103,Bowling Centers,10507.741935483871,1,14180.612903225807,-3672.8709677419356
104,Breakfast Cereal Mfg,37154.27777777778,1,52682.166666666664,-15527.888888888883
105,Breweries,29025.0,1,39554.348837209305,-10529.348837209305
106,"Brick, Stone, and Related Const Material Merchant ...",21546.39024390244,1,33792.78048780488,-12246.390243902439
107,Broadwoven Fabric Mills,16721.22950819672,1,24493.147540983606,-7771.918032786885
108,Broilers and Other Meat Type Chicken Production ,16958.153846153848,1,29011.53846153846,-12053.384615384613
109,Building Inspection Services,27484.090909090908,1,27935.81818181818,-451.72727272727207
110,Bus and Other Motor Vehicle Transit Systems ,14827.528571428571,1,23723.371428571427,-8895.842857142856
111,Business Associations ,22103.53846153846,1,31971.128205128207,-9867.589743589746
112,"Cafeterias, Grill Buffets, and Buffets ",9338.670454545454,1,14449.65909090909,-5110.988636363636
113,Cane Sugar Mfg ,34602.4,1,33314.4,1288.0
114,"Capacitor, Resistor, Coil, Transformer, and Other ...",19244.714285714286,1,29228.714285714286,-9984.0
115,Car Washes ,14110.19587628866,1,19321.103092783505,-5210.907216494845
116,Carpet and Rug Mills,20640.598639455784,1,31333.0,-10692.401360544216
117,Carpet and Upholstery Cleaning Services,22389.133333333335,1,24835.8,-2446.6666666666642
118,Casino Hotels,7618.9,1,15604.4,-7985.5
119,Casinos (except Casino Hotels),10431.8,1,14619.4,-4187.6
120,Caterers,13717.502732240437,1,18808.234972677597,-5090.732240437161
121,Cement Mfg,23482.727272727272,1,42383.27272727273,-18900.545454545456
122,Cemeteries and Crematories ,14763.25,1,14220.25,543.0
123,Charter Bus Industry,17791.7,1,26639.1,-8847.399999999998
124,Cheese Mfg ,11479.57142857143,1,9281.42857142857,2198.1428571428587
125,Chicken Egg Production ,16721.875,1,28363.5,-11641.625
126,Child Care Services ,12362.462940461726,1,17327.772782503038,-4965.309842041312
127,Child and Youth Services ,17361.09411764706,1,21772.858823529412,-4411.764705882353
128,Civic and Social Organizations ,15192.230088495575,1,18800.41592920354,-3608.1858407079653
129,Claims Adjusting ,43314.129166666666,1,56384.458333333336,-13070.32916666667
130,Clay Building Material and Refractories Mfg ,17344.17142857143,1,20179.14285714286,-2834.971428571429
131,Clothing and Clothing Accessories Merchant Wholesa...,13180.333333333334,1,20032.4,-6852.0666666666675
132,Clothing and Clothing Accessories Retailers ,11935.379727685326,1,16745.801815431165,-4810.422087745839
133,Coastal and Great Lakes Freight Trans ,20223.666666666668,1,14819.0,5404.666666666668
134,Coastal and Great Lakes Passenger Trans ,11047.8,1,36170.0,-25122.2
135,Coffee and Tea Mfg ,29873.6,1,44656.8,-14783.200000000004
136,Coin-Operated Laundries and Drycleaners ,13019.923076923076,1,12936.76923076923,83.15384615384573
137,Collection Agencies,18575.775280898877,1,21645.76966292135,-3069.9943820224726
138,"Colleges, Universities, and Professional Schools ",23404.931914893616,1,32743.978723404256,-9339.04680851064
139,"Commercial Air, Rail, and Water Trans Equipment Re...",17742.666666666668,1,41733.333333333336,-23990.666666666668
140,Commercial Bakeries ,25817.333333333332,1,35235.32575757576,-9417.992424242428
141,Commercial Banking ,30229.75975359343,1,35679.334702258726,-5449.574948665297
142,Commercial Photography ,12985.714285714286,1,32848.42857142857,-19862.714285714286
143,Commercial Printing (except Screen and Books) ,25644.882352941175,1,29629.46323529412,-3984.580882352944
144,Commercial Screen Printing ,17950.962962962964,1,24923.814814814814,-6972.85185185185
145,Commercial and Industrial Machinery and Equipment ...,30107.697183098593,1,36203.16197183099,-6095.464788732395
146,Commercial and Institutional Building Const ,29062.238578680204,1,41207.69035532995,-12145.451776649745
147,Commercial and Service Industry Machinery Mfg ,25077.9375,1,27516.9375,-2439.0
148,"Commercial, Industrial, and Institutional Electric...",36406.470588235294,1,43990.117647058825,-7583.647058823532
149,Community Food Services ,7485.875,1,17513.25,-10027.375
150,Computer Facilities Management Services ,32366.971830985916,1,34074.394366197186,-1707.4225352112699
151,Computer Systems Design Services ,32755.764378478663,1,50401.661410018554,-17645.89703153989
152,Computer Terminal and Other Computer Peripheral Eq...,49819.52380952381,1,58703.71428571428,-8884.190476190473
153,Computer Training ,44481.35,1,34029.9,10451.449999999997
154,Computer and Computer Peripheral Equipment and Sof...,50939.62222222222,1,67132.08888888889,-16192.466666666667
155,"Computing Infrastructure Providers, Data Processin...",32758.74426229508,1,45857.54590163934,-13098.801639344263
156,Concrete Block and Brick Mfg ,25870.833333333332,1,24289.833333333332,1581.0
157,Confectionery Mfg from Purchased Chocolate ,30141.0,1,9125.0,21016.0
158,Confectionery Merchant Wholesalers ,21901.75,1,30230.464285714286,-8328.714285714286
159,Confectionery and Nut Retailers ,5751.0,1,8480.833333333334,-2729.833333333334
160,Const Machinery Mfg,22843.725274725275,1,33827.51648351648,-10983.791208791208
161,Const Sand and Gravel Mining ,19850.714285714286,1,26706.85714285714,-6856.142857142855
162,Const and Mining (except Oil Well) Machinery and E...,34039.77777777778,1,38208.24444444444,-4168.46666666666
163,"Const, Mining, and Forestry Machinery and Equipmen...",51375.61111111111,1,51683.333333333336,-307.72222222222626
164,Consumer Electronics and Appliances Rental,19892.106382978724,1,25756.68085106383,-5864.574468085106
165,Consumer Lending ,15792.551282051281,1,26451.846153846152,-10659.294871794871
166,Continuing Care Retirement Communities ,15935.204225352112,1,20340.183098591548,-4404.978873239435
167,Convenience Retailers ,11263.583333333334,1,17126.6875,-5863.104166666666
168,Convention and Trade Show Organizers,13069.2,1,32265.372727272726,-19196.172727272726
169,Convention and Visitors Bureaus ,14630.555555555555,1,18400.444444444445,-3769.8888888888905
170,Conveyor and Conveying Equipment Mfg ,17945.666666666668,1,24976.5,-7030.833333333332
171,Cookie and Cracker Mfg ,28887.152173913044,1,44567.69565217391,-15680.543478260868
172,"Copper Rolling, Drawing, Extruding, and Alloying",30208.52,1,45734.9,-15526.380000000001
173,"Corporate, Subsidiary, and Regional Managing Offic...",30150.504587155963,1,38289.3501529052,-8138.845565749238
174,Correctional Institutions ,17977.402597402597,1,24171.18181818182,-6193.779220779223
175,Corrugated and Solid Fiber Box Mfg ,25584.735294117647,1,33411.42647058824,-7826.691176470591
176,"Cosmetics, Beauty Supplies, and Perfume Retailers ",12240.694915254237,1,12733.186440677966,-492.4915254237294
177,Cosmetology and Barber Schools ,5156.428571428572,1,22186.285714285714,-17029.85714285714
178,Cotton Farming,18841.85714285714,1,24867.285714285714,-6025.4285714285725
179,Cotton Ginning ,14359.833333333334,1,19455.833333333332,-5095.999999999998
180,Couriers and Express Delivery Services,15248.168,1,19716.224,-4468.055999999999
181,Court Reporting and Stenotype Services ,13260.0,1,24347.4,-11087.400000000001
182,Courts ,23590.090909090908,1,29678.863636363636,-6088.772727272728
183,Credit Bureaus,42764.47368421053,1,68437.05263157895,-25672.57894736842
184,Credit Card Issuing ,63038.6,1,67746.4,-4707.799999999996
185,Credit Unions ,24584.278911564626,1,32246.08843537415,-7661.809523809523
186,Crushed and Broken Granite Mining and Quarrying ,30749.384615384617,1,31998.0,-1248.615384615383
187,Current-Carrying Wiring Device Mfg ,18327.1,1,24504.95,-6177.850000000002
188,Curtain and Linen Mills,13512.477272727272,1,20578.18181818182,-7065.704545454548
189,Custom Architectural Woodwork and Millwork Mfg ,16761.375,1,27724.625,-10963.25
190,Custom Compounding of Purchased Resins ,19819.285714285714,1,33878.57142857143,-14059.285714285714
191,Custom Computer Programming Services ,38497.59917920657,1,58025.348837209305,-19527.749658002736
192,"Cut Stock, Resawing Lumber, and Planing ",15748.4,1,22592.2,-6843.800000000001
193,Cut Stone and Stone Product Mfg ,18264.6,1,27770.7,-9506.100000000002
194,Cut and Sew Apparel Contractors ,8999.875,1,22222.5,-13222.625
195,Cut and Sew Apparel Mfg (except Contractors) ,16046.842105263158,1,22684.78947368421,-6637.947368421052
196,Cutting Tool and Machine Tool Accessory Mfg ,31433.333333333332,1,43567.666666666664,-12134.333333333332
197,Dairy Cattle and Milk Production,29457.5,1,56889.5,-27432.0
198,Dairy Product (except Dried or Canned) Merchant Wh...,19944.333333333332,1,24509.88888888889,-4565.555555555558
199,Dental Laboratories ,22070.428571428572,1,31050.928571428572,-8980.5
200,Department Stores ,12038.422859830667,1,18212.9557855127,-6174.532925682031
201,Diagnostic Imaging Centers ,24961.45,1,31144.1,-6182.649999999998
202,Diet and Weight Reducing Centers ,16717.333333333332,1,17051.333333333332,-334.0
203,Direct Health and Medical Insurance Carriers ,27224.816091954024,1,34496.05172413793,-7271.235632183903
204,Direct Life Insurance Carriers ,20723.525925925926,1,28453.118518518517,-7729.592592592591
205,Direct Mail Advertising,28990.9,1,43057.0,-14066.099999999999
206,Direct Property and Casualty Insurance Carriers ,23830.34439834025,1,34805.92946058091,-10975.585062240662
207,Direct Title Insurance Carriers ,33285.0,1,55256.166666666664,-21971.166666666664
208,Directory and Mailing List Publishers ,57603.782608695656,1,53374.739130434784,4229.043478260872
209,Document Preparation Services,25406.6,1,27204.333333333332,-1797.7333333333336
210,Dog and Cat Food Mfg ,30498.03448275862,1,52610.206896551725,-22112.172413793105
211,"Doll, Toy, and Game Mfg",36062.75,1,54088.25,-18025.5
212,Drilling Oil and Gas Wells,18218.5,1,40750.625,-22532.125
213,Drinking Places (Alcoholic Beverages) ,13335.094827586207,1,19094.103448275862,-5759.008620689656
214,Drugs and Druggists' Sundries Merchant Wholesalers...,41648.09433962264,1,49919.35849056604,-8271.264150943396
215,"Dry Pasta, Dough, and Flour Mixes Mfg from Purchas...",33300.096774193546,1,38892.1935483871,-5592.096774193553
216,Drycleaning and Laundry Services (except Coin-Oper...,13006.738461538462,1,18662.784615384615,-5656.046153846153
217,Drywall and Insulation Contractors ,26199.36,1,29853.34,-3653.9799999999996
218,Educational Support Services,20049.787037037036,1,23459.416666666668,-3409.6296296296314
219,Electric Power Distribution ,31522.62962962963,1,53321.666666666664,-21799.037037037033
220,"Electrical Apparatus and Equipment, Wiring Supplie...",25470.84705882353,1,35739.91764705882,-10269.070588235292
221,Electrical Contractors and Other Wiring Installati...,24007.27559055118,1,33744.041338582676,-9736.765748031496
222,Electromedical and Electrotherapeutic Apparatus Mf...,57678.5,1,52744.0,4934.5
223,Electronic Computer Mfg ,52173.4,1,69602.92,-17429.519999999997
224,Electronic and Precision Equipment Repair and Main...,18721.666666666668,1,28730.68,-10009.013333333332
225,Electronics and Appliance Retailers ,20101.310030395136,1,28028.756838905774,-7927.446808510638
226,"Electroplating, Plating, Polishing, Anodizing, and...",23744.409090909092,1,28481.5,-4737.090909090908
227,Elementary and Secondary Schools ,15818.190936863544,1,21586.650203665988,-5768.459266802443
228,Elevator and Moving Stairway Mfg ,20228.0,1,20750.333333333332,-522.3333333333321
229,Emergency and Other Relief Services ,19841.82608695652,1,27257.630434782608,-7415.804347826088
230,Employment Placement Agencies ,20361.163987138265,1,29435.889067524116,-9074.725080385851
231,Engineered Wood Member Mfg ,15023.1875,1,22648.375,-7625.1875
232,Engineering Services,32599.225449515907,1,47699.017980636236,-15099.792531120329
233,"Environment, Conservation and Wildlife Organizatio...",18045.6,1,35526.8,-17481.200000000004
234,Environmental Consulting Services,36746.565217391304,1,43301.82608695652,-6555.260869565216
235,Exam Preparation and Tutoring ,19753.647058823528,1,25521.29411764706,-5767.647058823532
236,Executive Offices ,36743.75,1,33863.875,2879.875
237,Executive Search Services ,24977.614942528737,1,36885.71264367816,-11908.097701149425
238,"Executive and Legislative Offices, Combined ",19266.86012861736,1,25802.65836012862,-6535.798231511257
239,Exterminating and Pest Control Services,18703.426470588234,1,24429.20588235294,-5725.779411764706
240,Fabric Coating Mills,20062.0,1,24131.333333333332,-4069.333333333332
241,Fabricated Pipe and Pipe Fitting Mfg ,40443.333333333336,1,45201.0,-4757.666666666664
242,Fabricated Structural Metal Mfg ,24048.677419354837,1,45215.77419354839,-21167.09677419355
243,Facilities Support Services,16213.805418719212,1,24096.128078817736,-7882.322660098524
244,Family Planning Centers ,16898.81818181818,1,36682.09090909091,-19783.27272727273
245,Farm Labor Contractors and Crew Leaders ,13855.142857142857,1,22182.314285714285,-8327.171428571428
246,Farm Machinery and Equipment Mfg ,27362.15,1,28101.6,-739.4499999999971
247,Farm Supplies Merchant Wholesalers ,20595.25,1,32440.86111111111,-11845.61111111111
248,Farm and Garden Machinery and Equipment Merchant W...,18594.29,1,26078.78,-7484.489999999998
249,"Fastener, Button, Needle, and Pin Mfg ",20992.31818181818,1,27992.454545454544,-7000.136363636364
250,Fats and Oils Refining and Blending ,32020.625,1,35837.0,-3816.375
251,Fertilizer (Mixing Only) Mfg ,9420.666666666666,1,11961.333333333334,-2540.666666666668
252,Fiber Optic Cable Mfg ,30630.53846153846,1,35846.11538461538,-5215.576923076922
253,"Fiber, Yarn, and Thread Mills ",19583.971014492752,1,27051.77971014493,-7467.8086956521765
254,"Financial Transactions Processing, Reserve, and Cl...",30652.803278688523,1,45114.80327868852,-14462.0
255,Fine Arts Schools ,11744.76923076923,1,12429.23076923077,-684.461538461539
256,Finish Carpentry Contractors,25771.117647058825,1,27074.926470588234,-1303.808823529409
257,Fire Protection ,6363.2,1,76404.8,-70041.6
258,Fish and Seafood Merchant Wholesalers ,26484.5,1,40477.0,-13992.5
259,Fitness and Recreational Sports Centers ,18960.350364963502,1,16328.540145985402,2631.8102189781002
260,Flat Glass Mfg ,19654.85185185185,1,15065.351851851852,4589.499999999998
261,Flavoring Syrup and Concentrate Mfg,45063.4,1,85571.3,-40507.9
262,Flight Training ,21743.25,1,40558.875,-18815.625
263,Floor Covering Retailers ,22010.21875,1,34601.5625,-12591.34375
264,Flooring Contractors,29542.657894736843,1,41721.28947368421,-12178.63157894737
265,Floriculture Production ,26764.6,1,29611.2,-2846.600000000002
266,Florists ,11653.44,1,24060.04,-12406.6
267,"Flower, Nursery Stock, and Florists' Supplies Merc...",13519.666666666666,1,20027.833333333332,-6508.166666666666
268,Fluid Milk Mfg ,15165.0,1,80045.33333333333,-64880.33333333333
269,Fluid Power Cylinder and Actuator Mfg ,18220.3,1,33403.6,-15183.3
270,Fluid Power Pump and Motor Mfg ,31161.85714285714,1,35068.28571428572,-3906.428571428576
271,Folding Paperboard Box Mfg ,29898.12,1,47917.94,-18019.820000000003
272,Food (Health) Supplement Retailers ,13576.714285714286,1,17960.666666666668,-4383.952380952382
273,Food Product Machinery Mfg ,25436.666666666668,1,41209.22222222222,-15772.555555555551
274,Food Service Contractors,15390.85846153846,1,21444.881538461537,-6054.023076923077
275,Footwear Mfg ,22117.0,1,15139.42857142857,6977.571428571429
276,Footwear Merchant Wholesalers ,57426.0,1,89865.25,-32439.25
277,Forest Nurseries and Gathering of Forest Products ,9943.0,1,40768.5,-30825.5
278,Fossil Fuel Electric Power Generation ,71054.75,1,71648.75,-594.0
279,Framing Contractors ,19886.333333333332,1,34529.0,-14642.666666666668
280,Freestanding Ambulatory Surgical and Emergency Cen...,20439.869565217392,1,31961.27536231884,-11521.405797101448
281,Freight Trans Arrangement ,19222.62695924765,1,31094.93260188088,-11872.30564263323
282,Fresh Fruit and Vegetable Merchant Wholesalers ,21270.103448275862,1,32239.258620689656,-10969.155172413793
283,"Frozen Cakes, Pies, and Other Pastries Mfg ",9796.3,1,22398.7,-12602.400000000001
284,"Frozen Fruit, Juice, and Vegetable Mfg ",35822.2,1,22944.8,12877.399999999998
285,Frozen Specialty Food Mfg ,22492.76923076923,1,15672.923076923076,6819.846153846154
286,Fruit and Vegetable Canning ,26892.13888888889,1,43022.555555555555,-16130.416666666664
287,Fruit and Vegetable Retailers ,12848.944444444445,1,19292.0,-6443.055555555555
288,Fuel Dealers ,17495.725806451614,1,27605.967741935485,-10110.241935483871
289,Full-Service Restaurants ,11310.163696369636,1,18284.5102310231,-6974.346534653465
290,Funeral Homes and Funeral Services ,15729.28125,1,19321.1875,-3591.90625
291,Furniture Merchant Wholesalers ,25090.45945945946,1,35500.27027027027,-10409.810810810814
292,Furniture Retailers ,20214.098445595853,1,25351.943005181347,-5137.844559585494
293,"Gasket, Packing, and Sealing Device Mfg ",15301.882352941177,1,21820.647058823528,-6518.764705882351
294,Gasoline Stations with Convenience Stores ,11537.161825726142,1,14784.123098201937,-3246.9612724757953
295,General Automotive Repair ,21106.057971014492,1,27958.768115942028,-6852.710144927536
296,"General Freight Trucking, Local ",17346.69387755102,1,22718.177842565598,-5371.483965014577
297,"General Freight Trucking, Long-Distance, Less Than...",16001.768645357686,1,23028.415525114156,-7026.64687975647
298,"General Freight Trucking, Long-Distance, Truckload...",17739.595238095237,1,31215.525132275132,-13475.929894179895
299,General Line Grocery Merchant Wholesalers ,20217.794964028777,1,34005.0,-13787.205035971223
300,General Medical and Surgical Hospitals ,16967.113394216132,1,34843.71537290715,-17876.60197869102
301,General Rental Centers,19408.052631578947,1,28836.21052631579,-9428.157894736843
302,General Warehousing and Storage ,15450.007717750826,1,22431.93862550533,-6981.930907754502
303,"Gift, Novelty, and Souvenir Retailers ",12797.176470588236,1,26683.970588235294,-13886.794117647058
304,Glass Container Mfg ,25751.315789473683,1,34300.36842105263,-8549.05263157895
305,Glass Product Mfg Made of Purchased Glass ,16860.666666666668,1,35686.916666666664,-18826.249999999996
306,Glass and Glazing Contractors ,26469.5,1,26839.791666666668,-370.2916666666679
307,Golf Courses and Country Clubs,20300.110526315788,1,24789.28947368421,-4489.178947368422
308,Grantmaking Foundations ,10867.666666666666,1,37131.88888888889,-26264.222222222226
309,Graphic Design Services,47082.31578947369,1,115432.21052631579,-68349.8947368421
310,Ground or Treated Mineral and Earth Mfg ,32171.333333333332,1,31880.5,290.8333333333321
311,Guided Missile and Space Vehicle Mfg ,49800.6,1,39084.6,10716.0
312,Guided Missile and Space Vehicle Propulsion Unit a...,53819.333333333336,1,44121.333333333336,9698.0
313,Gypsum Product Mfg,37441.416666666664,1,43077.25,-5635.833333333336
314,HMO Medical Centers ,20379.172413793105,1,33251.620689655174,-12872.448275862069
315,Hardware Mfg,26664.714285714286,1,33364.0,-6699.285714285714
316,Hardware Merchant Wholesalers ,23347.55,1,30273.983333333334,-6926.433333333334
317,Hardware Retailers ,20611.72602739726,1,20943.424657534248,-331.69863013698705
318,Hardwood Veneer and Plywood Mfg ,27083.33846153846,1,34918.723076923074,-7835.384615384613
319,Hazardous Waste Collection ,6412.666666666667,1,23495.0,-17082.333333333332
320,Hazardous Waste Treatment and Disposal ,37682.2,1,33101.333333333336,4580.866666666661
321,Health and Welfare Funds ,50259.3,1,41827.5,8431.800000000003
322,Heating Equipment (except Warm Air Furnaces) Mfg ,18913.666666666668,1,31979.666666666668,-13066.0
323,Heavy Duty Truck Mfg,1067.4285714285713,1,45581.857142857145,-44514.42857142857
324,"Highway, Street, and Bridge Const ",19767.40350877193,1,28274.894736842107,-8507.491228070176
325,"Hobby, Toy, and Game Retailers ",13248.116666666667,1,13747.033333333333,-498.91666666666606
326,Home Centers ,14886.046539379475,1,24975.718377088306,-10089.671837708831
