industry_code,pct_change
Tire Dealers ,4.289976109712952
"Executive and Legislative Offices, Combined ",4.157139516193225
Offices of Real Estate Agents and Brokers,4.129677541580773
Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,4.106835478068355
Other Support Activities for Air Transportation,4.080926629684329
Power and Communication Line and Related Structures Construction ,4.047470718259915
Golf Courses and Country Clubs,3.9695822237002214
Home Health Care Services,3.96182146799597
Portfolio Management and Investment Advice ,3.8844982993197283
Folding Paperboard Box Manufacturing ,3.8655237315875617
Clothing and Clothing Accessories Retailers ,3.851515202650685
Lessors of Nonresidential Buildings (except Miniwarehouses) ,3.8448816375539994
Battery Manufacturing ,3.7764125077795163
Research and Development in Biotechnology (except Nanobiotechnology),3.758608321377331
All Other Miscellaneous Retailers ,3.7231828131218374
Other Grocery and Related Products Merchant Wholesalers ,3.704370142912601
Major Household Appliance Manufacturing ,3.629033084467867
Sheet Metal Work Manufacturing ,3.584461929425858
Other Electronic Parts and Equipment Merchant Wholesalers ,3.4683922573596924
Emergency and Other Relief Services ,3.4585603199823916
Software Publishers,3.4038346916866584
Snack and Nonalcoholic Beverage Bars ,3.3969345790854972
Industrial Machinery and Equipment Merchant Wholesalers ,3.2846649060551454
"Corporate, Subsidiary, and Regional Managing Offices ",3.2503254035655567
All Other Specialty Trade Contractors,3.2409941746443294
"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",3.22994931425164
General Medical and Surgical Hospitals ,3.112802688994844
Structural Steel and Precast Concrete Contractors ,3.086783719523347
"Plumbing, Heating, and Air-Conditioning Contractors ",3.0827714385295755
Other Millwork (including Flooring) ,3.071886446886447
"Specialized Freight (except Used Goods) Trucking, Local ",3.052537114449753
Linen Supply ,3.0446028074812768
Freight Transportation Arrangement ,3.0312540798935306
Metal Service Centers and Other Metal Merchant Wholesalers ,3.0241325207578407
Architectural Services,2.9878048780487805
Administration of Housing Programs ,2.9684523809523813
Offices of Physicians (except Mental Health Specialists) ,2.9606294907263133
Cut and Sew Apparel Manufacturing (except Contractors) ,2.8982122074227337
Sawmills ,2.854258300686872
Apparel Knitting Mills,2.805693815987934
Facilities Support Services,2.796391436053306
Motor Vehicle Supplies and New Parts Merchant Wholesalers ,2.7751593085796067
Collection Agencies,2.6225603568988496
Recyclable Material Merchant Wholesalers ,2.6169026472631733
Bus and Other Motor Vehicle Transit Systems ,2.5617569249922187
Passenger Car Rental ,2.5358032615413872
Pharmacies and Drug Retailers ,2.5144275679772288
Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,2.5140510497128146
Credit Unions ,2.4777390829434016
Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,2.465405874727909
Travel Agencies,2.392243509608396
Logging ,2.38510101010101
Marketing Consulting Services ,2.3451906414001344
Offices of Dentists ,2.3294597323066384
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,2.3257021489855996
Mortgage and Nonmortgage Loan Brokers ,2.2885678721174005
Beer and Ale Merchant Wholesalers ,2.275297619047619
Industrial Supplies Merchant Wholesalers,2.263503261486103
Roasted Nuts and Peanut Butter Manufacturing ,2.2267742673992674
Motor Vehicle Seating and Interior Trim Manufacturing,2.205334352134852
Mixed Mode Transit Systems ,2.1649634039209773
Metal Can Manufacturing ,2.1136916835699795
Other Farm Product Raw Material Merchant Wholesalers ,2.0981490872210955
Nonwoven Fabric Mills,2.0948644267609784
Translation and Interpretation Services,2.0588779956427015
Land Subdivision ,2.039163314898609
Industrial and Personal Service Paper Merchant Wholesalers ,2.029951768317302
Floor Covering Retailers ,1.9738101543583535
Sporting Goods Retailers ,1.9696611588364759
"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",1.9509521116138762
Tire and Tube Merchant Wholesalers ,1.950344611528822
Marine Cargo Handling,1.9489087301587302
Sporting and Recreational Goods and Supplies Merchant Wholesalers ,1.9426388888888888
Special Needs Transportation ,1.9224837662337662
Automotive Parts and Accessories Retailers ,1.9163083867377464
Site Preparation Contractors,1.909917300510501
Hardware Merchant Wholesalers ,1.849655388471178
Ready-Mix Concrete Manufacturing,1.8381547135733842
Indoor and Outdoor Display Advertising,1.7916064628693495
Packaging and Labeling Services,1.7893177711721164
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,1.7695489500147887
"Process, Physical Distribution, and Logistics Consulting Services ",1.7212902497433484
Perishable Prepared Food Manufacturing ,1.6884256094782408
Other Residential Care Facilities ,1.681242534749749
Mineral Wool Manufacturing ,1.6522222222222225
Other Building Equipment Contractors ,1.6485404940587867
Electrical Contractors and Other Wiring Installation Contractors,1.6097110488191955
All Other Miscellaneous Manufacturing ,1.5366379310344827
Support Activities for Rail Transportation,1.52292663476874
Cookie and Cracker Manufacturing ,1.5212513935340022
National Security ,1.5163530465949822
Kidney Dialysis Centers ,1.4987828359977342
Paint and Coating Manufacturing,1.494047619047619
Document Preparation Services,1.4555555555555555
All Other Outpatient Care Centers ,1.4483288770053475
Other Computer Related Services,1.4454448621553886
Industrial Launderers ,1.435897435897436
Painting and Wall Covering Contractors,1.4356740669240668
Other Paperboard Container Manufacturing ,1.4318783068783068
All Other Business Support Services ,1.4002164502164502
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,1.377069716775599
Other Community Housing Services ,1.325587606837607
Florists ,1.319551282051282
Other General Government Support ,1.3089750763269634
Animal (except Poultry) Slaughtering ,1.3082535576946979
Automobile and Light Duty Motor Vehicle Manufacturing ,1.3080842026341735
Fiber Optic Cable Manufacturing ,1.2784188034188033
Administration of Conservation Programs ,1.2687525354969573
Other Spectator Sports ,1.2651515151515151
Sales Financing ,1.2438326864447853
"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",1.2375730994152048
Recreational Vehicle Dealers ,1.2266025641025642
Wood Window and Door Manufacturing ,1.2156228464457999
All Other Miscellaneous Ambulatory Health Care Services ,1.194921622495152
Stationery and Office Supplies Merchant Wholesalers ,1.169561937678297
Consumer Electronics and Appliances Rental,1.1691071795662453
Curtain and Linen Mills,1.1679112554112554
All Other Miscellaneous Fabricated Metal Product Manufacturing ,1.1594771241830066
Finish Carpentry Contractors,1.1593134691436713
"Colleges, Universities, and Professional Schools ",1.1560034194218902
Commercial Banking ,1.1487798831644456
Furniture Retailers ,1.148027570244194
New Single-Family Housing Construction (except For-Sale Builders) ,1.146618458060352
Oil and Gas Pipeline and Related Structures Construction ,1.1293214654282766
Farm Supplies Merchant Wholesalers ,1.1224137931034484
Metal Window and Door Manufacturing ,1.1221185064935066
Air Traffic Control,1.1130172413793102
Parking Lots and Garages ,1.1127895089282525
Remediation Services ,1.1059598741148702
"Other Foundation, Structure, and Building Exterior Contractors ",1.1007917459493743
Educational Support Services,1.0889538661468485
Periodical Publishers ,1.062900641025641
Confectionery Merchant Wholesalers ,1.058116883116883
Fabricated Structural Metal Manufacturing ,1.0551499079724886
Fuel Dealers ,1.0475278620791562
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",1.0363450372823135
Commercial and Institutional Building Construction ,1.0236184178405214
Poultry Hatcheries,1.0045093795093796
Upholstered Household Furniture Manufacturing ,0.987019887019887
Motor Vehicle Metal Stamping,0.9739320624760844
Computer Facilities Management Services ,0.9715111845824109
"Beer, Wine, and Liquor Retailers ",0.9695776037687803
Appliance Repair and Maintenance ,0.9672101449275362
"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",0.9613095238095237
Artificial and Synthetic Fibers and Filaments Manufacturing,0.9588744588744589
Coffee and Tea Manufacturing ,0.9267857142857143
Spice and Extract Manufacturing ,0.9208578314529372
Investment Banking and Securities Intermediation ,0.9179608922145139
Meat Processed from Carcasses ,0.9139287266405911
Local Messengers and Local Delivery,0.9088683923948375
Meat and Meat Product Merchant Wholesalers ,0.905478258300839
Residential Intellectual and Developmental Disability Facilities ,0.8931818181818182
All Other Miscellaneous Textile Product Mills ,0.891465053763441
Farm and Garden Machinery and Equipment Merchant Wholesalers ,0.8866818873668189
Warehouse Clubs and Supercenters ,0.8823680644196885
Pet Care (except Veterinary) Services ,0.8815545115261694
Frozen Specialty Food Manufacturing ,0.8772581585081585
Prefabricated Metal Building and Component Manufacturing ,0.8609360410830998
Manufactured Home (Mobile Home) Manufacturing ,0.856246857717446
Service Establishment Equipment and Supplies Merchant Wholesalers ,0.8561274509803921
Telecommunications Resellers,0.8546600877192982
Psychiatric and Substance Abuse Hospitals ,0.8438958916900094
Electronics and Appliance Retailers ,0.8394300478019256
Amusement and Theme Parks ,0.8341103749191985
Soft Drink Manufacturing ,0.8283532111657113
"General Freight Trucking, Local ",0.8196984680946793
Dental Laboratories ,0.8170787545787547
"Offices of Physical, Occupational and Speech Therapists, and Audiologists ",0.8153740790901045
"Other Direct Insurance (except Life, Health, and Medical) Carriers ",0.8134031198686371
All Other Home Furnishings Retailers ,0.8048076370532122
Bottled Water Manufacturing ,0.7940647128245476
Water and Sewer Line and Related Structures Construction ,0.7912088719153936
Real Estate Credit ,0.7861199182695694
Veterinary Services ,0.7779830068586374
Other Gasoline Stations ,0.7653294796573098
Gypsum Product Manufacturing,0.7518939393939393
Other Professional Equipment and Supplies Merchant Wholesalers ,0.747033763338111
"Independent Artists, Writers, and Performers ",0.7384834368530021
Institutional Furniture Manufacturing ,0.7343073593073594
Testing Laboratories and Services,0.7338631244881244
Rubber Product Manufacturing for Mechanical Use ,0.7215073529411764
Television Broadcasting Stations,0.7170962732919255
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",0.7161172161172161
Office Supplies and Stationery Retailers ,0.7085053319573443
Textile and Fabric Finishing Mills ,0.7081493068335173
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",0.7006410256410256
Other Motor Vehicle Parts Manufacturing,0.6892735887301104
"International, Secondary Market, and All Other Nondepository Credit Intermediation ",0.6809823594989834
All Other Plastics Product Manufacturing ,0.6706231558358545
Vocational Rehabilitation Services ,0.6682065951859322
Support Activities for Forestry,0.6666666666666667
Radio Broadcasting Stations ,0.6666666666666666
Other Food Crops Grown Under Cover ,0.6651515151515152
Mattress Manufacturing,0.6614079566665775
Stationery Product Manufacturing,0.6599234099234099
Polystyrene Foam Product Manufacturing,0.6534538169276454
"Nursery, Garden Center, and Farm Supply Retailers ",0.6454344512195122
Environmental Consulting Services,0.6450304677206851
Cotton Ginning ,0.634375
"Cafeterias, Grill Buffets, and Buffets ",0.6339984291071248
Electronic Computer Manufacturing ,0.6332738095238095
Residential Mental Health and Substance Abuse Facilities ,0.6296387298327247
Courts ,0.6168686868686868
Nursery and Tree Production ,0.6132700632700633
"Photography Studios, Portrait ",0.6091269841269842
Automobile Driving Schools ,0.6083333333333334
Other Snack Food Manufacturing ,0.6052924727817849
Directory and Mailing List Publishers ,0.5832880434782609
Convention and Trade Show Organizers,0.5784074790457768
Community Food Services ,0.5763888888888888
Tour Operators,0.565805109922757
"Cut Stock, Resawing Lumber, and Planing ",0.562878787878788
Residential Property Managers ,0.5594554591647614
"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) ",0.5481575473605157
Amusement Arcades,0.5461309523809523
Plastics Bag and Pouch Manufacturing ,0.5449248120300751
Clothing and Clothing Accessories Merchant Wholesalers,0.5443666458625891
Continuing Care Retirement Communities ,0.535377051915453
"Sawmill, Woodworking, and Paper Machinery Manufacturing ",0.5347222222222222
Precision Turned Product Manufacturing ,0.5289627039627041
Electronic and Precision Equipment Repair and Maintenance ,0.5110375816993464
Photographic Equipment and Supplies Merchant Wholesalers ,0.5090034965034965
"Promoters of Performing Arts, Sports, and Similar Events with Facilities ",0.5031660412757974
Wood Preservation ,0.5020833333333334
Claims Adjusting ,0.4996442980811443
Refrigerated Warehousing and Storage,0.4989797073407458
Investigation and Personal Background Check Services ,0.47256189613526567
Automotive Oil Change and Lubrication Shops ,0.4723819411485524
Regulation and Administration of Transportation Programs ,0.457485447950856
Other Warehousing and Storage,0.4537536295005807
Nail Salons ,0.4444444444444444
Lessors of Miniwarehouses and Self-Storage Units ,0.4438667995136712
Paper Bag and Coated and Treated Paper Manufacturing,0.4418527379053695
Medical Laboratories ,0.43989323308920625
Furniture Merchant Wholesalers ,0.439711137385556
"General Freight Trucking, Long-Distance, Less Than Truckload ",0.4355217557592621
"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers ",0.43283085194375515
Payroll Services ,0.42845392679151817
Ammunition (except Small Arms) Manufacturing ,0.4248737373737374
Offices of Certified Public Accountants ,0.4216564681152959
Charter Bus Industry,0.4173076923076924
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",0.41504506320016704
In-Vitro Diagnostic Substance Manufacturing ,0.4097222222222222
Hazardous Waste Treatment and Disposal ,0.4095238095238095
Paperboard Mills ,0.40912208111742776
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,0.40846936628186625
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",0.4065058479532163
All Other Transportation Equipment Manufacturing ,0.3989051821277655
Book Publishers ,0.3920454545454546
Religious Organizations ,0.39196428571428565
Repossession Services ,0.3813492063492063
"Cosmetics, Beauty Supplies, and Perfume Retailers ",0.369200976861915
Dairy Product (except Dried or Canned) Merchant Wholesalers ,0.36704545454545456
Plastics Pipe and Pipe Fitting Manufacturing ,0.35232860031247126
Industrial Sand Mining ,0.3333333333333333
Other Nonmetallic Mineral Mining and Quarrying ,0.33333333333333326
Nonferrous Metal Die-Casting Foundries ,0.33333333333333326
Breweries,0.3316290854808297
Miscellaneous Intermediation ,0.3307498057498058
Confectionery Manufacturing from Purchased Chocolate ,0.3270833333333334
All Other Insurance Related Activities ,0.3177043217800599
Heavy Duty Truck Manufacturing,0.3119047619047619
Legislative Bodies ,0.3073122529644269
Building Inspection Services,0.3064393939393939
Natural Gas Distribution ,0.3036796536796537
Plastics Bottle Manufacturing,0.3031746031746032
Dairy Cattle and Milk Production,0.28869047619047616
Other Miscellaneous Nondurable Goods Merchant Wholesalers ,0.2789852700490998
Credit Bureaus,0.27690630967620883
Current-Carrying Wiring Device Manufacturing ,0.2642857142857143
Broadwoven Fabric Mills,0.26062316099201344
Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,0.2583333333333333
Graphic Design Services,0.2521198830409357
"Copper Rolling, Drawing, Extruding, and Alloying",0.2512179487179488
Glass and Glazing Contractors ,0.2471744264507422
Bowling Centers,0.2455985222464886
All Other Consumer Goods Rental ,0.23988795518207287
Dog and Cat Food Manufacturing ,0.23506299734748015
Fruit and Vegetable Canning ,0.23342427248677253
"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",0.22916666666666663
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,0.22916666666666663
Carpet and Rug Mills,0.22595761707750403
Fabricated Pipe and Pipe Fitting Manufacturing ,0.22123015873015872
Automobile and Other Motor Vehicle Merchant Wholesalers ,0.2189880944775923
Irradiation Apparatus Manufacturing ,0.21666666666666665
Administration of Public Health Programs ,0.2152604426292264
Septic Tank and Related Services ,0.2071581196581197
Casinos (except Casino Hotels),0.20714285714285713
Support Activities for Nonmetallic Minerals (except Fuels) Mining ,0.19615384615384618
"Aluminum Sheet, Plate, and Foil Manufacturing ",0.19523809523809524
Fossil Fuel Electric Power Generation ,0.19444444444444442
Biological Product (except Diagnostic) Manufacturing ,0.18928571428571425
Exam Preparation and Tutoring ,0.18326330532212884
Theater Companies and Dinner Theaters ,0.1823096264367816
"Specialized Freight (except Used Goods) Trucking, Long-Distance ",0.17917558132284941
Offices of All Other Miscellaneous Health Practitioners ,0.17846978981045905
HMO Medical Centers ,0.177249115826702
Siding Contractors ,0.16566776135741654
"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",0.16244429590017823
Glass Product Manufacturing Made of Purchased Glass ,0.15833333333333335
Asphalt Shingle and Coating Materials Manufacturing ,0.15833333333333335
Fluid Power Cylinder and Actuator Manufacturing ,0.15714285714285714
Fish and Seafood Merchant Wholesalers ,0.15347222222222223
Other Activities Related to Real Estate ,0.15332687338501297
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,0.1531385281385281
"General Freight Trucking, Long-Distance, Truckload ",0.15265655569714795
Other Chemical and Allied Products Merchant Wholesalers ,0.15223453500926318
Offices of Other Holding Companies ,0.1510739579705097
Musical Groups and Artists ,0.14916125541125538
Roofing Contractors ,0.1490679824561403
Office Supplies (except Paper) Manufacturing,0.13958333333333336
Totalizing Fluid Meter and Counting Device Manufacturing ,0.13333333333333336
Other Support Activities for Road Transportation ,0.13126198153754795
Support Activities for Printing,0.13011363636363638
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors ",0.12957875457875462
Consumer Lending ,0.12881713415230048
Coin-Operated Laundries and Drycleaners ,0.12415188977688979
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,0.12341269841269842
Offices of Optometrists,0.12191301520608239
Water Supply and Irrigation Systems ,0.11992783224400869
Civic and Social Organizations ,0.119166736378671
Other Basic Inorganic Chemical Manufacturing ,0.11854163862341272
Cut Stone and Stone Product Manufacturing ,0.11825396825396828
Farm Product Warehousing and Storage,0.1166666666666667
"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",0.11607142857142858
Recreational Goods Rental ,0.11111111111111109
Drilling Oil and Gas Wells,0.10416666666666666
Ice Manufacturing ,0.10297619047619047
Other Social Advocacy Organizations ,0.10165130287506627
Soybean and Other Oilseed Processing ,0.09583333333333335
Solar Electric Power Generation ,0.09166666666666667
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",0.09062395530224676
Coastal and Great Lakes Passenger Transportation ,0.0888888888888889
All Other Basic Organic Chemical Manufacturing ,0.08809523809523812
Media Representatives,0.08750000000000002
Support Activities for Oil and Gas Operations ,0.08333333333333334
Sports Teams and Clubs ,0.08238855738855738
"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",0.07613406473700593
"All Other Professional, Scientific, and Technical Services",0.07187443738843743
Switchgear and Switchboard Apparatus Manufacturing ,0.06859459984459984
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",0.06723484848484851
RV (Recreational Vehicle) Parks and Campgrounds ,0.06636904761904758
Wood Kitchen Cabinet and Countertop Manufacturing,0.06224523449591016
Other Building Material Dealers ,0.06156257698940626
Book Retailers and News Dealers ,0.06041181041181043
Administration of Education Programs ,0.05885477760898408
All Other Rubber Product Manufacturing ,0.05743727598566312
Aircraft Manufacturing ,0.0572041792135812
Industrial Building Construction ,0.0554982889817624
Other Services to Buildings and Dwellings ,0.054276695526695506
"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ",0.053571428571428575
Passenger Car Leasing ,0.05059523809523811
Surgical Appliance and Supplies Manufacturing ,0.049854241213393546
Surveying and Mapping (except Geophysical) Services,0.049084249084249076
Other Miscellaneous Durable Goods Merchant Wholesalers ,0.04872557997557997
Chicken Egg Production ,0.0473214285714286
Political Organizations ,0.04204545454545458
Nonferrous Forging ,0.04166666666666663
New Multifamily Housing Construction (except For-Sale Builders) ,0.039973544973544994
Other Gambling Industries ,0.03989576599870717
"Paint, Varnish, and Supplies Merchant Wholesalers ",0.038068181818181834
All Other Miscellaneous Waste Management Services ,0.03718944099378882
Casino Hotels,0.03690476190476194
All Other Amusement and Recreation Industries ,0.0354673104673105
"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",0.03407477025898081
"Trusts, Estates, and Agency Accounts ",0.029761904761904795
Office Machinery and Equipment Rental and Leasing,0.02797619047619046
Media Buying Agencies,0.027777777777777752
Beef Cattle Ranching and Farming ,0.027777777777777752
Flavoring Syrup and Concentrate Manufacturing,0.02592940685045947
Guided Missile and Space Vehicle Manufacturing ,0.025000000000000022
Computer Training ,0.0239010989010989
"Automotive Body, Paint, and Interior Repair and Maintenance ",0.022652618883137188
Offices of Lawyers,0.017418692584004025
Legal Counsel and Prosecution ,0.014772727272727243
Tobacco Product and Electronic Cigarette Merchant Wholesalers ,0.012445887445887427
Rubber and Plastics Hoses and Belting Manufacturing,0.011408730158730146
Hardwood Veneer and Plywood Manufacturing ,0.010120218943748371
Conveyor and Conveying Equipment Manufacturing ,0.008333333333333331
Cotton Farming,0.007142857142857145
"Brick, Stone, and Related Construction Material Merchant Wholesalers ",0.004276390562134885
Other Technical and Trade Schools ,0.0019206767476558917
Oil and Gas Field Machinery and Equipment Manufacturing ,0.0
Racetracks ,0.0
Saw Blade and Handtool Manufacturing ,0.0
Noncurrent-Carrying Wiring Device Manufacturing ,0.0
Inland Water Passenger Transportation ,0.0
Deep Sea Passenger Transportation ,0.0
"Soil Preparation, Planting, and Cultivating ",0.0
Industrial Process Furnace and Oven Manufacturing ,0.0
Formal Wear and Costume Rental,0.0
Direct Life Insurance Carriers ,-0.0006181046622223407
Food Product Machinery Manufacturing ,-0.0013458763458763234
Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,-0.00324675324675322
Printed Circuit Assembly (Electronic Assembly) Manufacturing ,-0.004807692307692291
Language Schools ,-0.005272108843537376
Motor Vehicle Electrical and Electronic Equipment Manufacturing,-0.0059808612440191145
Other Animal Food Manufacturing ,-0.006860902255639123
Public Relations Agencies,-0.0077485380116958935
Sign Manufacturing,-0.008315720611916266
All Other Miscellaneous Food Manufacturing ,-0.010766045548654263
Plumbing Fixture Fitting and Trim Manufacturing ,-0.01190476190476189
Title Abstract and Settlement Offices ,-0.012622549019607854
Used Merchandise Retailers ,-0.013328074854714211
Motion Picture Theaters (except Drive-Ins) ,-0.013761548410938657
Petroleum Refineries,-0.014423076923076955
Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,-0.016025641025641052
All Other Travel Arrangement and Reservation Services ,-0.019011837704629497
Fluid Power Pump and Motor Manufacturing ,-0.01904761904761909
Farm Labor Contractors and Crew Leaders ,-0.019642857142857184
Urethane and Other Foam Product (except Polystyrene) Manufacturing,-0.020833333333333343
Adhesive Manufacturing,-0.0216622458001768
Breakfast Cereal Manufacturing,-0.02182539682539683
Other Pressed and Blown Glass and Glassware Manufacturing ,-0.022321428571428603
Pharmaceutical Preparation Manufacturing ,-0.023483881346784585
Other Commercial Equipment Merchant Wholesalers ,-0.023966105269281668
Reinsurance Carriers ,-0.02408008658008659
Hardware Manufacturing,-0.027289377289377303
Synthetic Dye and Pigment Manufacturing,-0.027347652347652324
Other Engine Equipment Manufacturing ,-0.02926587301587305
Office Administrative Services,-0.02935126276087377
"Book, Periodical, and Newspaper Merchant Wholesalers ",-0.033245920745920726
"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",-0.033333333333333354
All Other Miscellaneous Wood Product Manufacturing ,-0.03362470862470862
Hardware Retailers ,-0.034433253570565064
Ice Cream and Frozen Dessert Manufacturing,-0.0357142857142857
Sports and Recreation Instruction ,-0.035730460662525915
Other Building Finishing Contractors,-0.03636869107364493
Materials Recovery Facilities ,-0.03663811369169215
Other Vegetable (except Potato) and Melon Farming ,-0.037344042569452424
Footwear Merchant Wholesalers ,-0.03749999999999998
Forest Nurseries and Gathering of Forest Products ,-0.037500000000000006
"Frozen Cakes, Pies, and Other Pastries Manufacturing ",-0.038475177304964525
Outdoor Power Equipment Retailers ,-0.04038461538461535
"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",-0.04166666666666666
"Scenic and Sightseeing Transportation, Water",-0.04166666666666666
Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,-0.041666666666666685
Seafood Product Preparation and Packaging,-0.0421626984126984
Toilet Preparation Manufacturing,-0.046048415186346225
Monetary Authorities-Central Bank,-0.04797979797979801
All Other Personal Services ,-0.05045707487886428
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",-0.05261387163561079
Other Services Related to Advertising ,-0.05406315613724047
Custom Architectural Woodwork and Millwork Manufacturing ,-0.05492424242424243
Fertilizer (Mixing Only) Manufacturing ,-0.05555555555555558
Professional and Management Development Training ,-0.057216650962444465
Fluid Milk Manufacturing ,-0.057291666666666685
Barber Shops ,-0.05795454545454545
Metal Heat Treating ,-0.058928571428571414
Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,-0.05902777777777776
Machine Shops,-0.06027084757347914
Polish and Other Sanitation Good Manufacturing ,-0.06388888888888886
"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",-0.06574675324675325
