202,"Individual with a Disability 
(WIOA)",IN 1,"Record 1 if the participant indicates that he/she has any ""disability”, as defined 
in Section 3(2)(a) of the Americans with Disabilities Act of 1990 (42 U.S.C. 
12102).  Under that definition, a ""disability"" is a physical or mental impairment 
that substantially limits one or more of the person's major life activities.  
Record 0 if the participant indicates that he/she does not have a disability that 
meets the definition.
Record 9 if the participant did not self-identify.","1 = Yes
0 = No
9 = Participant did not self-identify",,R,R,R,R,R,R,R
203,Category Of Disability,IN 9,"For those participants where Individual With A Disability (WIOA) = 1: 
Record 1 if the impairment is primarily physical, due to a chronic health 
condition.
Record 2 if the impairment is primarily physical, including mobility.    
Record 3 if, because of a mental illness, psychiatric disability, or emotional 
condition, the participant has serious difficulty concentrating, remembering, or 
making decisions.
Record 4 if the participant is blind or has serious difficulty seeing.
Record 5 if the participant is deaf or has serious difficulty hearing.
Record 6 if the participant has a learning disability.                                                      
Record 7 if the participant has a cognitive or intellectual disability. 
Record 9 if the participant does not wish to disclose his/her category of 
disability.                                                                                                                                
Record 0 if the participant has no disability.
Record all that apply if the participant has more than one impairment.","1 = Physical/Chronic Health Condition
2 = Physical/Mobility Impairment 
3 = Mental or Psychiatric Disability
4 = Vision-related disability 
5 = Hearing-related disability
6 = Learning Disability
7 = Cognitive/Intellectual disability
9 = Participant did not disclose type of 
disability
  0    =    N   o    d   i s a  b   i l i t y","Separate responses are coded in Items 
4021 to 4029.",,R,R,R,R,R,R
204,"Individual With A Disability 
SDDA Services",IN 1,"For those participants where Individual With A Disability (WIOA) = 1 :
Record 1 if the participant has received services funded by the State 
Developmental Disabilities Agency (SDDA).                                                                    
Record 0 if the participant does not meet any of the conditions described above.
Leave blank if this data element does not apply to this participant.","1 = SDDA
0 = No",,,R,R,R,R,R,R
205,"Individual With A Disability 
LSMHA Services",IN 1,"For those participants where Individual With A Disability (WIOA) = 1: Record 1 if 
the participant has received services funded by a local or state mental health 
agency (LSMHA).                                                                                                      
Record 0 if the participant does not meet any of the conditions described above.
Leave blank if this data element does not apply to this participant.","1 = LSMHA
 0 = No",,,R,R,R,R,R,R
206,"Individual With A Disability 
Medicaid HCBS Services",IN 1,"For those participants where Individual With A Disability (WIOA) = 1:
Record 1 if the participant has received services funded via a state Medicaid 
HCBS waiver.                                                                                                               
Record 0 if the participant does not meet any of the conditions described above.
Leave blank if this data element does not apply to this participant.","1 = HCBS waiver
0 = No",,,R,R,R,R,R,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
207,"Individual With A Disability 
Work Setting",IN 1,"For those participants where Individual With A Disability (WIOA) = 1: 
Record 1 if the participant is working in competitive, integrated employment 
(CIE).
Record 2 if the participant was formerly employed in supported employment 
(e.g. use of job coach, with integrated placement at competitive wages).
Record 3 if the participant is working in group supported employment (i.e., work 
crews, enclaves, etc.).
Record 4 if the participant is working in a sheltered workshop (i.e., center- or 
facility-based employment).
Record 5 if the participant is working in two or more of the above listed settings.
Record 0 if the participant is not currently employed.
Leave blank if this data element does not apply to this participant.","1 = Competitive Integrated Employment
2 = Individual Supported Employment
3 = Group Supported Employment 
4 = Sheltered workshop 
5 = Combination of two or more settings
0 = Not Employed",,,R,R,R,R,R,R
208,"Individual With A Disability 
Type of Customized 
Employment Services 
Received",IN 1,"For those participants where Individual With A Disability (WIOA) = 1:
If the participant  received customized employment services (CES) to attain 
most recent employment or current employment:
Record 1 if the participant received discovery assessment services.
Record 2 if the participant developed a customized employment search plan.
Record 3 if the participant received employer negotiation services.
Record 4 if the participant received secure employment as a result of receiving 
customized employment services and received extended support services.
Record 0 if the participant does not meet the condition described above.
Leave blank if this data element does not apply to this participant.","1 = Discovery assessment services
2 = Developed a customized employment 
search plan
3 =  Employer negotiation services
4 =  Secured employment as a result of 
receiving customized employment 
services and received extended support 
services
0 = No CES services",,,R,R,R,R,R,R
209,"Individual With A Disability 
Financial Capability",IN 1,"For those participants where Individual With A Disability (WIOA) = 1:
Record 1 if the participant has a receipt and has received benefit planning 
services.
Record 2 if participant has a receipt and has received financial capability/asset 
development services.
Record 3 if participant has a receipt and has received both benefit planning 
services and financial capability/asset development services.
Record 0 if the participant has no received the services described above. 
Leave blank if this data element does not apply to this participant.","1 = Benefit planning services
2 = Financial capability/asset development 
services
3 = Benefit planning services and financial 
capability/asset development services
0 = No",,,R,R,R,R,R,R
210,"Ethnicity: Hispanic / Latino 
(WIOA)",IN 1,"Record 1 if the participant indicates that he/she is a person of Cuban, Mexican, 
Puerto Rican, South or Central American, or other Spanish culture in origin, 
regardless of race.  
Record 0 if the participant indicates that he/she does not meet any of these 
conditions.
Record 9 if the participant did not self-identify his/her ethnicity.","1 = Yes
0 = No
9 = Participant did not self-identify","Single response race/ethnicity is coded in 
Item 4020.",R,R,R,R,R,R,R
211,"American Indian / Alaska 
Native (WIOA)",IN 1,"Record 1 if the participant indicates that he/she is a member of an Indian tribe, 
band, nation, or other organized group or community, including any Alaska 
Native village or regional or village corporation as defined in or established 
pursuant to the Alaska Native Claims Settlement Act (85 Stat. 688) [43 U.S.C. 
1601 et seq.], which is recognized as eligible for the special programs and 
services provided by the United States to Indians because of their status as 
Indians.
Record 0 if the participant indicates that he/she does not meet any of these 
conditions.
Record 9 if the participant did not self-identify his/her race.","1 = Yes                                                                 
0 = No
9 = Participant did not self-identify","S  i n  g  l e     r e  s  p  o   n  s  e    r a  c  e  /  e  t  h  n  i c  i t  y    i s    c o   d  e  d     i n      
Item 4020.",R,R,R,R,R,R,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
212,Asian (WIOA),IN 1,"Record 1 if the participant indicates that he/she is a person having origins in any 
of the original peoples of the Far East, Southeast Asia, or the Indian 
Subcontinent (e.g., India, Pakistan, Bangladesh, Sri Lanka, Nepal, Sikkim, and 
Bhutan).  This area includes, for example, Cambodia, China, Japan, Korea, 
Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.  
Record 0 if the participant indicates that he/she does not meet any of these 
conditions.
Record 9 if the participant did not self-identify his/her race.","1 = Yes                                                                 
0 = No
9 = Participant did not self-identify","S  i n  g  l e     r e  s  p  o   n  s  e    r a  c  e  /  e  t  h  n  i c  i t  y    i s    c o   d  e  d     i n      
Item 4020.",R,R,R,R,R,R,R
213,"Black / African American 
(WIOA)",IN 1,"Record 1 if the participant indicates that he/she is a person having origins in any 
of the black racial groups of Africa.
Record 0 if the participant indicates that he/she does not meet any of these 
conditions.
Record 9 if the participant did not self-identify his/her race.","1 = Yes                                                                 
0 = No
9 = Participant did not self-identify","S  i n  g  l e     r e  s  p  o   n  s  e    r a  c  e  /  e  t  h  n  i c  i t  y    i s    c o   d  e  d     i n      
Item 4020.",R,R,R,R,R,R,R
214,"Native Hawaiian / Other 
Pacific Islander WIOA)",IN 1,"Record 1 if the participant indicates that he/she is a person having origins in any 
of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.  
Record 0 if the participant indicates that he/she does not meet any of these 
conditions.
Record 9 if the participant did not self-identify his/her race.","1 = Yes                                                                 
0 = No
9 = Participant did not self-identify","S  i n  g  l e     r e  s  p  o   n  s  e    r a  c  e  /  e  t  h  n  i c  i t  y    i s    c o   d  e  d     i n      
Item 4020.",R,R,R,R,R,R,R
215,White (WIOA),IN 1,"Record 1 if the participant indicates that he/she is a person having origins in any 
of the original peoples of Europe, the Middle East, or North Africa.  
Record 0 if the participant indicates that he/she does not meet any of these 
conditions.
Record 9 if the participant did not self-identify his/her race.","1 = Yes                                                                 
0 = No
9 = Participant did not self-identify","S  i n  g  l e     r e  s  p  o   n  s  e    r a  c  e  /  e  t  h  n  i c  i t  y    i s    c o   d  e  d     i n      
Item 4020.",R,R,R,R,R,R,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
SECTION A.03-VETERAN CHARACTERISTICS,,,,,,,,,,,,
300,Veteran Status,IN 1,"Record 1 if the participant is a person who served on active duty in the armed 
forces and who was discharged or released from such service under conditions 
other than dishonorable.                                                                                                    
Record 0 if the participant does not meet the condition described above.
Record 9 if participant does not disclose veteran status.","1 = Yes
 0 = No
   9    = Status not known",,R,R,R,R,R,R,R
301,Eligible Veteran Status,IN 1,"Record 1 if the participant is a person who served in the active U.S. military, 
naval, or air service for a period of less than or equal to 180 days, and who was 
discharged or released from such service under conditions other than 
dishonorable.     
Record 2 if the participant served on active duty for a period of more than 180 
days and was discharged or released with other than a dishonorable discharge; 
or was discharged or released because of a service connected disability; or as a 
member of a reserve component under an order to active duty pursuant to 
section 167(a), (d), or (g), 673 (a) of Title 10, U.S.C., served on active duty during 
a period of war or in a campaign or expedition for which a campaign badge is 
authorized and was discharged or released from such duty with other than a 
dishonorable discharge.
Record 3 if the participant is: (a) the spouse of any person who died on active 
duty or of a service connected disability, (b) the spouse of any member of the 
Armed Forces serving on active duty who at the time of application for 
assistance under this part, is listed, pursuant to 38 U.S.C 101 and the regulations 
issued there under, by the Secretary concerned, in one or more of the following 
categories and has been so listed for more than 90 days: (i) missing in action; (ii) 
captured in the line of duty by a hostile force; or (iii) forcibly detained or 
interned in the line of duty by a foreign government or power; or (c) the spouse 
of any person who has a total disability permanent in nature resulting from a 
service connected disability or the spouse of a veteran who died while a 
disability so evaluated was in existence.
Record 0 if the participant does not meet any one of the conditions described 
above.
Leave “blank” if the data is not available.","1 = Yes <=180 days.
 2 = Yes, Eligible Veteran
 3 = Yes, Other Eligible Person
 0 = No",,R,R,R,R,R,R,R
302,Campaign Veteran,IN 1,"Record 1 if the participant is an eligible veteran (i.e., coding value 1 in Element 
#301) who served on active duty in the U.S. armed forces during a war or in a 
campaign or expedition for which a campaign badge or expeditionary medal has 
been authorized as identified and listed by the Office of Personnel Management 
(OPM).  A current listing of the campaigns can be found at OPM's website 
http://www.opm.gov/policy-data-oversight/veterans-services/vet-guide.
Record 0 if the participant does not meet the condition described above.
Leave blank if data element does not apply to the participant.","1 = Yes
0 = No",,,R,,,,,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
303,Disabled Veteran,IN 1,"Record 1 if the participant is a veteran who served on active duty in the U.S. 
armed forces and who is entitled to compensation regardless of rating 
(including those rated at 0%); or who but for the receipt of military retirement 
pay would be entitled to compensation, under laws administered by the 
Department of Veterans Affairs (DVA); or was discharged or released from 
activity duty because of a service-connected disability. 
Record 2 if the participant is a veteran who served on active duty in the U.S. 
armed forces and who is entitled to compensation (or who, but for the receipt 
of military retirement pay would be entitled to compensation) under laws 
administered by the DVA for a disability, (i) rated at 30 percent or more or, (ii) 
rated at 10 or 20 percent in the case of a veteran who has been determined by 
DVA to have a serious employment handicap.  
Record 0 if the participant does not meet any one of the conditions described 
above.
Leave blank if data element does not apply to the participant.","1 = Yes
 2 = Yes, special disabled
 0 = No",,,R,R,R,R,R,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
304,"Date of Actual Military 
Separation",DT 8,"Record the date on which the participant separated from active duty with the 
U.S. armed forces.
Leave blank if data element does not apply to the participant.",YYYYMMDD,,,R,R,R,R,R,R
305,Transitioning Service Member,IN 1,"Record 1 if the participant is a person who is on active military duty status 
(including separation leave) with the U.S. armed forces and within 24 months of 
retirement or 12 months of separation from the armed forces.  
Record 0 if the participant does not meet the condition described above.
Leave blank if data element does not apply to the participant.","1 = Yes
0 = No",,,R,R,R,R,R,R
306,Covered Person Entry Date,DT 8,"Record the date on which the Covered Person first made contact with the 
workforce system, either at a physical location or through an electronic 
resource.
Leave blank if this data element does not apply to the participant",YYYYMMDD,,R,R,R,R,R,R,R
307,TAP Workshop in 3 Prior Years,IN 1,"Record 1 if the Veteran or TSM attended a TAP Workshop in 3 year period prior 
to Date of Participation.","1 = Yes
 0 = No",,,R,,,,,R
309,"Homeless Veterans' 
Reintegration Program 
Participant",IN 1,"Record 1 if the participant is a veteran who is enrolled in the Homeless 
Veterans’ Reintegration Program (HVRP), Incarcerated Veterans Transition 
Program (IVTP), or Homeless Female Veterans and Veterans with Families 
(HFVVWF) Reintegration Program in their area.
Record 0 if the participant does not meet the condition described above.
Leave blank if data element does not apply to the participant.","1 = Yes
0 = No",,,R,R,R,R,,R
310,"Homeless Veterans' 
Reintegration Program 
Grantee",IN 5,"Record the first five numbers of the DOL Grant number for the corresponding 
program in PIRL 309. (Should be provided by the local grantee/service provider 
making the referral.)
Leave blank if data element does not apply to the participant.",00000,,,R,R,R,R,,R
311,"Homeless Veterans’ 
Reintegration Program 
Grantee #2",IN 5,"If the participant is receiving services from a second HVRP grantee, record the 
first five numbers of the DOL Grant number. (Should be provided by the local 
HVRP grantee/service provider making the referral.)
Leave blank if data element does not apply to the participant.",00000,,,R,,,,,R
312,"Reason the participant is 
being served by a second 
HVRP grantee",IN 2,"Record 1 if the participant stated the grantee is no longer a DOL grantee.
Record 2 if the participant stated the services provided were not capable to her 
or his needs.
Record 3 if the participant left the service area of grantee #1.
Record 4 if the participant lost touch with the HVRP counselor #1 and recruited 
by HVRP grantee #2","01= If the participant stated the grantee is 
no longer a DOL grantee.
02= If the participant stated the services 
provided were not capable to her or his 
needs.
03= If the participant left the service area 
of grantee #1.
04= If the participant lost touch with the 
HVRP counselor #1 and recruited by HVRP 
grantee #2",,,R,,,,,R
313,"Homeless Veterans’ 
Reintegration Program 
Grantee #3",IN 5,"If the participant is receiving services from a third HVRP grantee, Record the first 
five numbers of the DOL Grant number. (Should be provided by the local HVRP 
grantee/service provider making the referral.)
 Leave blank if data element does not apply to the participant.",00000,,,R,,,,,R
314,"Reason the participant is 
being served by a third HVRP 
grantee",IN 2,"Record 1 if the participant stated the grantee is no longer a DOL grantee.
Record 2 if the participant stated the services provided were not capable to his 
needs.
Record 3 if the participant left the service area of grantee #2.
Record 4 if the participant lost touch with the HVRP counselor #2 and recruited 
by HVRP grantee #3","01= If the participant stated the grantee is 
no longer a DOL grantee.
02= If the participant stated the services 
provided were not capable to his needs.
03= If the participant left the service area 
of grantee #2.
04=If the participant lost touch with the 
HVRP counselor #2 and recruited by HVRP 
grantee #3",,,R,,,,,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
315,"Other Significant Barrier to 
Employment",IN 1,"Record 1 if the veteran or eligible person has a significant barrier to 
employment not captured elsewhere.                                                                             
Record 0 if there is no other significant barrier to employment.
NOTE:  The rationale for this data element is that certain significant barriers to 
employment are captured in other data elements.  For instance, “special 
disabled” or “disabled veteran” is captured in #303, “homeless veterans” is 
captured in #308; “recently separated” is captured in #304; “ex-offender” is 
captured in #801, “no secondary school diploma…” is captured in #408, and 
“low income” is captured in #802.
Leave blank if this data element does not apply to the participant","1 = Yes, Other
  0    =    N   o",,,R,,,,,R
DATA ELEMENT NO.,DATA ELEMENT NAME,"DATA TYPE/ 
FIELD LENGTH",DATA ELEMENT DEFINITIONS/INSTRUCTIONS,CODE VALUE,Notes,"la
u
d
iv
id
n
I e
lb
a
tro
p
e
R","re
s
y
e
P
-re
n
g
a
W","s
tlu
d
A
 A
O
IW","d
e
ta
c
o
ls
iD Asrek
OIWroW","h
tu
o
Y
 A
O
IW",rekroW detacolsiD                               stnarG)GWD(,"'snareteV)GSVJ( stna
 rorG
f sb eta
oJtS"
316,Active Duty Military Spouse,IN 1,Record 1 if participant is the spouse of a member of the Armed Forces on active,1 = Yes,,,R,R,R,R,R,R
"SECTION A.04-EMPLOYMENT AND EDUCATION INFORMAduTtIyO (aNs defined in section 101(d)(1) of title 10, United States Code). 0= No",,,,,,,,,,,,
400,"Employment Status at 
Program Entry (WIOA)",IN 1,"Record 1 if the participant, at program entry, (a) is currently performing any 
work at all as a paid employee, (b)  is currently performing any work at all in his 
or her own business, profession, or farm, (c) is currently performing any work as 
an unpaid worker in an enterprise operated by a member of the family, or (d) is 
one who is not working, but currently has a job or business from which he or 
she is temporarily absent because of illness, bad weather, vacation, labor-
management dispute, or personal reasons, whether or not paid by the employer 
for time-off, and whether or not seeking another job. 
Record 2 if the participant, at program entry, is a person who, although 
employed, either (a) has received a notice of termination of employment or the 
employer has issued a Worker Adjustment and Retraining Notification (WARN) 
or other notice that the facility or enterprise will close, or (b) is a transitioning 
service member (i.e., within 12 months of separation or 24 months of 
retirement).
Record 3 if the participant, at program entry, is not in the labor force (i.e., those 
who are not employed and are not actively looking for work, including those 
who are incarcerated).
Record 0 if the participant, at program entry, is not employed but is seeking 
employment, makes specific effort to find a job, and is available for work.","1 = Employed
2 = Employed, but Received Notice of 
Termination of Employment or Military 
Separation is pending
3 = Not in labor force
0 = Unemployed",,,R,R,R,R,R,R
401,UC Eligible Status,IN 1,"Record 1 if the participant is a person who (a) filed a claim and has been 
determined eligible for benefit payments under one or more State or Federal 
Unemployment Compensation (UC) programs and whose benefit year or 
compensation, by reason of an extended duration period, has not ended and 
who has not exhausted his/her benefit rights, and (b) was referred based on 
participation in the Reemployment Services and Eligibility Assessment (RESEA) 
program.
Record 2 if the participant is a person who (a) filed a claim and has been 
determined eligible for benefit payments under one or more State or Federal 
Unemployment Compensation (UC) programs and whose benefit year or 
compensation, by reason of an extended duration period, has not ended and 
who has not exhausted his/her benefit rights, and (b) was referred to service 
through the state's Worker Profiling and Reemployment Services (WPRS) 
system.
Record 3 if the participant is a person who meets condition 2 (a) described 
above, but was not referred to service through the state's WPRS system or the 
RESEA program.
Record 4 if the participant meets condition 2(a), but has exhausted all UC 
benefit rights for which he/she has been determined  eligible, including 
extended supplemental benefit rights. 
Record 5 if the participant is claimant who is exempt from normal work search 
requirements according state law, and does not have to perform work search 
activities.
Record 0 if the participant was neither a UC Claimant nor an Exhaustee.
Leave blank if this data element does not apply to the participant.","1 = Claimant Referred by RESEA
2 = Claimant Referred by WPRS
3 = Claimant Not Referred by RESEA or 
WPRS
4 = Exhaustee
5 = Claimant is Exempt                                     
0 = Neither Claimant nor Exhaustee","This Item is blank in public use file to 
preserve participant confidentiality.",,R,R,R,R,R,R
402,"Long-Term Unemployed at 
Program Entry (WIOA)",IN 1,"Record 1 if the participant, at program entry, has been unemployed for 27 or 
more consecutive weeks.                                                                                                    
Record 0 if the participant does not meet the condition described above.","1 = Yes, Unemployed ≥ 27 consecutive 
 w   e  eks
0 = No",,,R,R,R,R,R,R
